News_headlines,Link
"Gerónimo Villanueva: ""Vamos a tener seres humanos naciendo en Marte""",https://www.cnn.com/videos/spanish/2019/07/19/humanos-viviendo-planeta-marte-celebracion-apollo-11-camilo-sot.cnn
Apollo 11: 50 años de la llegada del hombre a la Luna,https://www.cnn.com/videos/spanish/2019/07/19/apollo-luna-astronautas-neil-amstrong-buzz-aldrin-guerra-fria-eeuu-rec-vo.cnn
Communication officer: It hit me like a wall,https://www.cnn.com/videos/us/2019/07/18/ed-fendell-apollo-11-mission-control-sot-vpx.cnn
Flight dynamics leader: Neil Armstrong could do the impossible,https://www.cnn.com/videos/us/2019/07/18/jerry-bostick-apollo-11-mission-control-sot-vpx.cnn
Flight surgeon: These eight lines sum up Apollo 11,https://www.cnn.com/videos/us/2019/07/18/dr-bill-carpentier-apollo-11-flight-surgeon-sot-vpx.cnn
Flight director: We were in right place at right time,https://www.cnn.com/videos/us/2019/07/18/gerry-griffin-apollo-11-flight-director-sot-vpx.cnn
Human remains and musket balls found at battle site marking Napoleon Bonaparte's final defeat,https://www.cnn.com/2019/07/18/world/waterloo-excavation-trnd/index.html
"Remains of amputated limbs from Battle of Waterloo found, experts say",https://www.cnn.com/videos/world/2019/07/18/battle-of-waterloo-amputated-limbs-mg-lon-orig.cnn
Apollo 11 mission on stage and screen,https://www.cnn.com/videos/movies/2019/07/18/apollo-11-mission-on-stage-and-screen.cnn
The second space race is underway. America is already losing it,https://www.cnn.com/2019/07/17/perspectives/moon-landing-space-race/index.html
"Weekend sports lineup highlights include the British Open, the Baseball Hall of Fame induction and 'El Trafico'",https://www.cnn.com/2019/07/18/sport/weekend-sports-lineup-for-july-19-21/index.html
Bud Light is offering free beer to any alien that makes it out of Area 51,https://www.cnn.com/2019/07/18/us/area-51-bud-light-trnd/index.html
Why the 1969 moon landing still inspires space explorers today,https://www.cnn.com/2019/06/22/us/apollo-11-moon-mars-scn/index.html
A Los Angeles police officer is accused of committing 2 rapes in the past 4 years,https://www.cnn.com/2019/07/18/us/los-angeles-police-officer-rape-charges/index.html
Mosquitoes have been almost completely wiped out on two Chinese islands,https://www.cnn.com/2019/07/18/health/asian-tiger-mosquitoes-guangzhou-intl-hnk/index.html
Sleeping in history: Egypt's vintage hotels  ,https://www.cnn.com/travel/article/egypt-vintage-hotels/index.html
A photo tour of Egypt's top historic hotels  ,https://www.cnn.com/travel/gallery/egypt-top-historic-hotels-photos/index.html
Protesters arrested at Hawaii's Mauna Kea for blocking construction of the Thirty-Meter Telescope,https://www.cnn.com/2019/07/17/us/mauna-kea-arrests-telescope-protests-trnd/index.html
"Following a catastrophic storm, a new investigation begins at Florida's Dozier School for Boys  ",https://www.cnn.com/2019/07/17/us/dozier-school-investigation/index.html
The original forensic investigation at the Dozier school  (2012-2016),https://www.cnn.com/2012/10/11/us/gallery/florida-school-graves/index.html
Area 51: A travel guide for the person who signed up for the raid but isn't ready to storm the gate,https://www.cnn.com/travel/article/area-51-what-is-visit-how-facebook-trnd/index.html
Need better sleep? Buy a plant,https://www.cnn.com/videos/tv/2019/07/17/sw-plants-to-help-you-sleep-better.cnn
Nuevo estudio revela que la anorexia también está relacionada con el metabolismo de las personas,https://www.cnn.com/videos/spanish/2019/07/17/anorexia-nuevo-estudio-relacion-con-metabolismo-pkg-miguel-angel-antonanzas.cnn
A Florida city blasts 'Baby Shark' overnight to deter homeless people from sleeping in a park,https://www.cnn.com/2019/07/17/us/baby-shark-florida-homeless-prevention-park-trnd/index.html
Will Americans return to the moon?,https://www.cnn.com/videos/world/2019/07/17/exp-will-americans-return-to-the-moon.cnn
Wandering moons called 'ploonets' could be the culprits behind astronomical mysteries,https://www.cnn.com/2019/07/17/world/ploonets-moon-astronomy-mystery-scn-trnd/index.html
La tecnología lleva al Apollo 11 al centro de Washington,https://www.cnn.com/videos/spanish/2019/07/17/apollo-11-en-washington-projeccion-monumento-washington-cafe-cnnee.cnn
Washington Monument lit up like Apollo mission rocket ,https://www.cnn.com/videos/us/2019/07/17/washington-monument-lit-up-like-apollo-mission-rocket-newsource-orig.cnn
"Remains of 9,000-year-old Neolithic settlement unearthed outside Jerusalem",https://www.cnn.com/style/article/neolithic-settlement-jerusalem/index.html
"For Apollo 11's moon landing anniversary, the Washington Monument was made to look like a rocket",https://www.cnn.com/2019/07/17/us/apollo-11-washington-monument-anniversary-trnd/index.html
Hottest temperatures of the summer ,https://www.cnn.com/videos/weather/2019/07/17/daily-weather-forecast-extreme-heat-wave-dome.cnn
"American scientist killed in Greece was raped, say police",https://www.cnn.com/2019/07/16/europe/american-scientist-suzanne-eaton-rape-greece-crete-intl/index.html
Mira los videos inéditos de la NASA buscando señales de vida en la Luna en 1969,https://www.cnn.com/videos/spanish/2019/07/16/vida-extraterrestre-luna-nasa-apollo-11-investigacion-muestras-1969-pkg-digital.cnn
Rare NASA footage from 1969 shows search for lunar life,https://www.cnn.com/videos/world/2019/07/16/nasa-rare-footage-lunar-life-orig-scn-cl.cnn
Apollo 11 lunar samples were searched for signs of life,https://www.cnn.com/2019/07/16/world/apollo-11-moon-samples-scn-trnd/index.html
Red giant stars create new way to measure how quickly the universe is expanding,https://www.cnn.com/2019/07/16/world/hubble-universe-expansion-rate-scn-trnd/index.html
This is what life on Mars could be like,https://www.cnn.com/videos/business/2019/05/29/living-on-mars-after-the-moon-scn.cnn
Hear them sing 'Strolling on the moon' while on the moon,https://www.cnn.com/videos/us/2019/05/07/apollo-missions-fun-facts-scn-orig.cnn
Much of the world will be able to see a partial lunar eclipse Tuesday -- just not the US,https://www.cnn.com/2019/07/16/world/partial-lunar-eclipse-scn-trnd/index.html
Unseen photos of NASA's Apollo space missions,https://www.cnn.com/style/gallery/nasa-apollo-unseen-photos/index.html
"The Apollo 11 moon landing, in photos",https://www.cnn.com/2019/06/14/us/gallery/apollo-11-moon-landing-1969/index.html
Neil Armstrong's Apollo 11 spacesuit unveiled,https://www.cnn.com/videos/us/2019/07/16/neil-armstrong-spacesuit-unveiling-air-space-museum-mike-pence-bts-vpx.cnn
See plasma clouds burst out of this animated black hole,https://www.cnn.com/videos/world/2019/04/30/space-black-hole-plasma-clouds-wobble-icrar-lon-orig.cnn
See black hole shred passing star,https://www.cnn.com/videos/us/2015/10/22/black-hole-destroys-star-orig-zc-vstan.cnn-nasa
One of these 12 women astronauts will go to the moon ,https://www.cnn.com/2019/06/21/tech/nasa-moon-female-astronaut/index.html
These women are designing spacesuits of the future,https://www.cnn.com/videos/business/2019/05/28/spacesuits-after-the-moon-scn.cnn
The women of NASA are looking to the lunar horizon,https://www.cnn.com/2019/07/11/us/nasa-women-space-scn-trnd/index.html
"Apollo 11 taught us to dream big, so let's aim for more than Mars",https://www.cnn.com/2019/07/16/opinions/apollo-11-inspired-me-to-dream-for-travel-to-the-stars-lincoln/index.html
Northern exposure: Summer in the coolest US state,https://www.cnn.com/travel/article/alaska-summer-travel/index.html
Scientists have found that anorexia is linked to metabolism,https://www.cnn.com/2019/07/15/health/anorexia-linked-metabolism-trnd/index.html
Man confesses to murdering US scientist Suzanne Eaton in Crete ,https://www.cnn.com/2019/07/15/europe/american-scientist-suzanne-eaton-murder-greece-crete-intl/index.html
MinutoCNN: Exclusivo: El comando central de Julian Assange para el caos,https://www.cnn.com/videos/spanish/2019/07/16/assange-exclusivo-asilo-trump-salud-demencia-depresion-redes-sociales-manual-apollo-11-minutocnn-pm.cnn
"Más allá de ""Apollo 11"": estas son las cinco películas espaciales más populares",https://www.cnn.com/videos/spanish/2019/07/16/rankingcnn-apollo-11-peliculas-espaciales-mas-populares-perspectivas-buenos-aires.cnn
SpaceX thinks it knows what went wrong aboard Crew Dragon,https://www.cnn.com/2019/07/15/tech/spacex-crew-dragon-destroyed-cause/index.html
Las bacterias buenas ayudarían a niños desnutridos,https://www.cnn.com/videos/spanish/2019/07/15/salud-doctor-elmer-huerta-ninos-desnutridos-crecimiento-estudio-science-flora-intestinal-encuentro-cnne.cnn
"This material could make parts of Mars habitable for humans, study says",https://www.cnn.com/2019/07/15/world/mars-habitability-scn-trnd/index.html
These DNA kits are still on sale for Amazon Prime Day ,https://www.cnn.com/2019/04/22/cnn-underscored/amazon-dna-kits-sale/index.html
Battle for sacred summit,https://www.cnn.com/videos/tv/2015/08/26/mauna-kea-thirty-meter-telescope-hawaii-protests-battle-tmt.cnn
See a harpoon skewer space junk in orbit ,https://www.cnn.com/videos/world/2019/02/15/space-harpoon-junk-in-orbit-lon-orig-sc.cnn
"Early humans breastfed their young for a year, study says",https://www.cnn.com/2019/07/15/health/australopithecus-breastfeeding-study-scn/index.html
Egypt opens Bent Pyramid to tourists,https://www.cnn.com/travel/article/bent-pyramid-egypt-scli-intl/index.html
"A visual history of the moon, from Galileo to Armstrong",https://www.cnn.com/style/article/apollo-moon-muse-photography/index.html
"How artists, photographers and astronomers have pictured the moon",https://www.cnn.com/style/gallery/apollo-moon-muse-photography/index.html
ReNew Power: The Indian unicorn built on green energy,https://www.cnn.com/2019/07/15/business/renew-power-india-green-energy/index.html
Why this beer uses barley that went to space,https://www.cnn.com/videos/business/2019/07/15/budweiser-beer-in-space-pkg-vpx.cnn
"Your lifestyle can lower your dementia risk, even if you have high genetic risk, study says",https://www.cnn.com/2019/07/14/health/dementia-risk-lifestyle-study/index.html
These 6 memes illustrate why storming Area 51 is a terrible idea,https://www.cnn.com/2019/07/13/us/area-51-raid-memes-trnd/index.html
India delays mission to land a rover on the moon ,https://www.cnn.com/2019/07/14/asia/india-moon-rover-launch-intl-hnk/index.html
First Moon Landing Fast Facts,https://www.cnn.com/2013/09/15/us/moon-landing-fast-facts/index.html
Graham to Trump: Look long and hard at climate science,https://www.cnn.com/videos/politics/2019/07/12/lindsey-graham-donald-trump-climate-crisis-nr-vpx.cnn
The Española chile pepper will be the first fruiting plant NASA grows in space,https://www.cnn.com/2019/07/14/us/chile-peppers-space-trnd/index.html
Thousands of people have taken a Facebook pledge to storm Area 51 to 'see them aliens',https://www.cnn.com/2019/07/11/us/alien-march-facebook-event-trnd/index.html
"Meet Abby, the 22-year-old who wants to be the first astronaut on Mars",https://www.cnn.com/2019/07/13/us/astronaut-abby-profile-scn/index.html
Over-the-top ways to celebrate Apollo 11's 50th anniversary,https://www.cnn.com/travel/article/apollo-11-anniversary-celebrations/index.html
